Pays;Latitude (générée);Longitude (générée);Clusters
Zambie;-15,13;25,268;0
Yémen;15,569;47,793;0
Viet Nam;21,75;105,373;0
Uruguay;-32,948;-56,249;2
Ukraine;49,364;32,132;0
Turquie;39,144;34,188;0
Tunisie;35,594;9,421;0
Trinité-et-Tobago;10,4435;-61,2604;0
Togo;7,7;1,106;0
Thaïlande;15,688;100,845;0
Tchéquie;49,848;15,2812;2
Tchad;15,981;18,781;0
Suriname;4,248;-55,848;0
Suisse;46,7794;8,0329;2
Suède;66,2188;19;2
Sri Lanka;7,3;80,727;0
Slovénie;46,037;14,534;2
Slovaquie;48,8595;19,4434;2
Sierra Leone;8,677;-11,779;0
Serbie;44,021;20,699;0
Sénégal;15,044;-15,081;0
Samoa;-13,6221;-172,439;0
Saint-Kitts-et-Nevis;17,147;-62,58;0
Rwanda;-1,887;29,904;0
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord;52,289;-1,259;2
Roumanie;45,933;25,119;0
République dominicaine;19,01;-70,1685;0
République de Moldova;47,524;28,444;0
République de Corée;36,338;128,16;2
Portugal;40,957;-7,9373;2
Polynésie française;-17,529;-149,53;2
Pologne;52,442;19,72;2
Philippines;17,181;121,256;0
Pérou;-12,664;-72,98;0
Pays-Bas;52,1704;5,0102;2
Paraguay;-23,266;-58,409;0
Panama;8,348;-81,005;0
Pakistan;28,1854;66,6429;0
Ouganda;1,9392;32,7415;0
Oman;19,85;56,25;2
Nouvelle-Zélande;-42,558;172,377;2
Norvège;61,3701;9,3031;2
Nigéria;9,3417;7,678;0
Niger;16,996;9,915;0
Nicaragua;12,692;-85,03;0
Namibie;-21,276;17,219;0
Myanmar;21,841;96,05;0
Monténégro;42,857;19,096;0
Mexique;22,925;-101,68;0
Maurice;-20,2529;57,5902;0
Maroc;31,129;-7,355;0
Malte;35,9024;14,4137;2
Malaisie;4,416;102,099;2
Macédoine du Nord;41,636;21,676;0
Luxembourg;49,671;6,113;2
Lituanie;55,342;24,23;2
Libéria;6,51;-9,33;0
Liban;34,161;36,021;0
Lettonie;57,017;25,0173;2
Lesotho;-29,446;28,371;0
Koweït;29,3169;47,4272;2
Kenya;0,806;38,166;0
Kazakhstan;48,866;69,772;0
Jordanie;30,681;36,279;0
Japon;35,962;137,855;2
Jamaïque;18,163;-77,477;0
Italie;44,3713;11,1084;2
Israël;30,992;34,834;2
Islande;64,826;-18,417;2
Irlande;53,214;-7,588;2
Iraq;33,545;43,278;0
Iran (République islamique d');33,408;54,0418;0
Indonésie;-0,739;114,045;0
Inde;22,741;78,236;0
Îles Salomon;-9,5987;160,1487;0
Hongrie;47,174;19,618;2
Honduras;14,881;-87,123;0
Guyana;5,17;-58,939;0
Guatemala;15,124;-90,711;0
Grèce;39,787;21,617;2
Ghana;7,258;-1,062;0
Géorgie;42,05;43,576;0
Gabon;-0,406;11,914;0
France;46,656;2,543;2
Finlande;62,716;26,192;2
Fidji;-17,7941;177,9783;0
Fédération de Russie;64,736;104,062;0
États-Unis d'Amérique;40,0792;-98,8164;1
Eswatini;-26,5203;31,4607;0
Estonie;58,777;25,977;2
Espagne;40,617;-3,388;2
Équateur;-1,151;-78,308;0
Émirats arabes unis;23,9299;53,9031;2
El Salvador;13,848;-89,229;0
Égypte;26,16;28,742;0
Dominique;15,4238;-61,3411;2
Danemark;56,113;9,096;2
Croatie;45,754;16,385;2
Côte d'Ivoire;7,497;-5,336;0
Costa Rica;10,126;-84,075;2
Congo;0,509;16,08;0
Colombie;3,794;-73,606;0
Chypre;34,894;32,928;2
Chine, continentale;35,1753;99,3877;1
Chine - RAS de Macao;22,1404;113,5643;2
Chine - RAS de Hong-Kong;22,4114;114,0599;2
Chili;-23,176;-69,201;2
Canada;59,2067;-111,1937;2
Cameroun;4,4;12,131;0
Bulgarie;42,625;24,521;2
Brésil;-11,694;-48,978;0
Botswana;-22,126;23,662;0
Bosnie-Herzégovine;44,342;17,804;0
Bolivie (État plurinational de);-16,71;-65,183;0
Bénin;10,478;2,274;0
Belize;17,108;-88,744;0
Belgique;50,6745;4,4588;2
Bélarus;53,3292;27,9492;0
Barbade;13,1898;-59,559;0
Azerbaïdjan;40,46;47,883;0
Autriche;47,65;14,705;2
Australie;-24,578;133,582;2
Arménie;40,56;44,449;0
Argentine;-33,166;-64,31;2
Arabie saoudite;24,191;44,32;2
Antigua-et-Barbuda;17,625;-61,786;0
Angola;-12,836;17,808;0
Allemagne;51,3819;9,9877;2
Algérie;28,6045;2,64;0
Albanie;40,654;20,076;0
Afrique du Sud;-31,7;23,441;2
