,Quartier,AgeBatiment,NombreUtilisations,PremierTypePropriete,NombreBatiments,NombreEtages,SurfacePlancherTotal,SurfaceTotaleParking,SurfaceTotaleHorsParking,ListeUtilisationsBatiment,UtilisationPrincipale,SurfaceUtilisationPrincipale,UtilisationSecondaire,SurfaceUtilisationSecondaire,UtilisationTertiaire,SurfaceUtilisationTertiaire,Conformité,ConsoSite/S(kBtu/sf),ConsoSiteNorm/S(kBtu/sf),ConsoSource/S(kBtu/sf),ConsoSourceNorm/S(kBtu/sf),ConsoSiteTot(kBtu),ConsoSiteTotNorm(kBtu),Vapeur(kBtu),Électricité(kBtu),GazNaturel(kBtu),EmissionGES,IntensiteGES/S,TrancheAge,Pertes/S(kBtu/sf),ProportionVapeur,ProportionElectricité,ProportionGazNaturel,Latitude,Longitude,Zone,clusters_kmeans
0,DOWNTOWN,89,1,Hotel,1.0,12,88434,0,88434,Hotel,Hotel,88434.0,Aucune,0.0,Aucune,0.0,Compliant,81.69999695,84.30000305,182.5,189.0,7226362.5,7456910.0,2003882.0,3946027.0,1276453.0,249.98,2.83,"[87,116[",100.80000305,0.277301616131214,0.546059929874816,0.1766383848028659,47.6122,-122.33799,Centre,0
1,DOWNTOWN,20,3,Hotel,1.0,11,103566,15064,88502,"Hotel, Parking, Restaurant",Hotel,83880.0,Parking,15064.0,Restaurant,4622.0,Compliant,94.80000305,97.90000153,176.1000061,179.3999939,8387933.0,8664479.0,0.0,3242851.0,5145082.0,295.86,2.86,"[0,29[",81.30000305,0.0,0.3866090728192511,0.6133909271807488,47.61317,-122.33393,Centre,1
2,DOWNTOWN,47,1,Hotel,1.0,41,956110,196718,759392,Hotel,Hotel,756493.0,Aucune,0.0,Aucune,0.0,Compliant,96.0,97.69999695,241.8999939,244.1000061,72587024.0,73937112.0,21566554.0,49526664.0,1493800.0,2089.28,2.19,"[29,58[",145.8999939,0.2971130762985957,0.6823074052464253,0.0205794357955769,47.61393,-122.3381,Centre,3
3,DOWNTOWN,90,1,Hotel,1.0,10,61320,0,61320,Hotel,Hotel,61320.0,Aucune,0.0,Aucune,0.0,Compliant,110.8000031,113.3000031,216.1999969,224.0,6794584.0,6946800.5,2214446.25,2768924.0,1811213.0,286.43,4.67,"[87,116[",105.3999938,0.3259134407639967,0.4075192830054054,0.2665671658485641,47.61412,-122.33664,Centre,0
4,DOWNTOWN,36,3,Hotel,1.0,18,175580,62000,113580,"Hotel, Parking, Swimming Pool",Hotel,123445.0,Parking,68009.0,Swimming Pool,0.0,Compliant,114.8000031,118.6999969,211.3999939,215.6000061,14172606.0,14656503.0,0.0,5368607.0,8803998.0,505.01,2.88,"[29,58[",96.5999908,0.0,0.3788016826263286,0.6211982468150177,47.61375,-122.34047,Centre,1
5,DOWNTOWN,17,1,Other,1.0,2,97288,37198,60090,Police Station,Police Station,88830.0,Aucune,0.0,Aucune,0.0,Compliant,136.1000061,141.6000061,316.2999878,320.5,12086616.0,12581712.0,0.0,7371434.0,4715182.0,301.81,3.1,"[0,29[",180.1999817,0.0,0.609884023783001,0.390115976216999,47.61623,-122.33657,Centre,1
6,DOWNTOWN,90,1,Hotel,1.0,11,83008,0,83008,Hotel,Hotel,81352.0,Aucune,0.0,Aucune,0.0,Compliant,70.80000305,74.5,146.6000061,154.6999969,5758795.0,6062767.5,0.0,2811215.0,2947580.0,176.14,2.12,"[87,116[",75.80000305,0.0,0.4881602835315374,0.5118397164684626,47.6139,-122.33283,Centre,0
7,DOWNTOWN,90,1,Other,1.0,8,102761,0,102761,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761.0,Aucune,0.0,Aucune,0.0,Compliant,61.29999924,68.80000305,141.6999969,152.3000031,6298131.5,7067881.5,2276286.5,3636655.0,385189.0,221.51,2.16,"[87,116[",80.39999766,0.3614225107875248,0.5774180802671396,0.0611592501680855,47.61327,-122.33136,Centre,0
8,DOWNTOWN,112,1,Hotel,1.0,15,163984,0,163984,Hotel,Hotel,163984.0,Aucune,0.0,Aucune,0.0,Compliant,83.69999695,86.59999847,180.8999939,187.1999969,13723820.0,14194054.0,0.0,7297919.0,6425900.0,392.16,2.39,"[87,116[",97.19999695,0.0,0.5317702359838588,0.4682296911501317,47.60294,-122.33263,Centre,0
10,DOWNTOWN,47,1,Hotel,1.0,11,153163,19279,133884,Hotel,Hotel,133884.0,Aucune,0.0,Aucune,0.0,Compliant,119.5999985,124.3000031,228.1999969,233.0,16016644.0,16646930.0,5237165.5,6187627.0,4591850.0,691.26,4.51,"[29,58[",108.5999984,0.3269826999963288,0.386324813113159,0.2866923932379342,47.60695,-122.33414,Centre,1
11,DOWNTOWN,18,1,Hotel,1.0,25,333176,61161,272015,Hotel,Hotel,336640.0,Aucune,0.0,Aucune,0.0,Compliant,80.0,80.40000153,199.0,199.3999939,26941110.0,27070114.0,5999360.5,18083049.0,2858700.0,740.97,2.22,"[0,29[",119.0,0.2226842360986611,0.6712065315794338,0.1061092137629073,47.60713,-122.33323,Centre,1
12,DOWNTOWN,88,1,Hotel,1.0,9,65009,0,65009,Hotel,Hotel,65009.0,Aucune,0.0,Aucune,0.0,Compliant,101.5,97.80000305,153.6000061,149.8000031,6596057.5,6358719.5,1656352.5,1343000.0,3596705.0,328.23,5.05,"[87,116[",52.1000061,0.2511125016724005,0.2036064725027033,0.5452810258248961,47.60699,-122.33346,Centre,0
13,DOWNTOWN,36,2,Hotel,1.0,33,315952,57600,258352,"Hotel, Parking",Hotel,295511.0,Parking,57600.0,Aucune,0.0,Compliant,75.5,76.19999695,179.8999939,180.6999969,22325364.0,22524948.0,4337738.5,13904183.0,4083440.0,648.62,2.05,"[29,58[",104.3999939,0.1942964289406434,0.6227975946999117,0.1829058643791877,47.60809,-122.33212,Centre,1
14,DOWNTOWN,94,2,Hotel,1.0,11,92190,25200,66990,"Hotel, Parking",Hotel,67390.0,Parking,25200.0,Aucune,0.0,Compliant,159.5,165.8999939,297.3999939,303.8999939,10750010.0,11179203.0,4870847.5,3832369.0,2046793.0,511.39,5.55,"[87,116[",137.89999390000003,0.4531016715333288,0.3564991102333858,0.1903991717217007,47.60755,-122.33244,Centre,0
15,DOWNTOWN,12,3,Other,1.0,11,412000,57000,355000,"Data Center, Library, Parking",Library,364913.0,Parking,49000.0,Data Center,1074.0,Compliant,50.79999924,51.09999847,155.6000061,156.0,18588860.0,18706912.0,737559.5,17851297.0,0.0,181.38,0.44,"[0,29[",104.80000686,0.0396775003953981,0.9603223113197904,0.0,47.60649,-122.33297,Centre,1
16,DOWNTOWN,86,3,Other,1.0,6,103911,0,103911,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,90000.0,Office,40000.0,Swimming Pool,0.0,Compliant,76.59999847,78.40000153,157.3999939,159.6000061,9956396.0,10192124.0,4592347.5,4453868.0,910180.0,433.86,4.18,"[58,87[",80.79999543,0.4612459669141324,0.4473373698675705,0.0914166129993222,47.60546,-122.33279,Centre,0
17,DOWNTOWN,33,2,Hotel,1.0,28,416281,85000,331281,"Hotel, Parking",Hotel,348329.0,Parking,85000.0,Aucune,0.0,Compliant,96.30000305,98.59999847,228.5,232.8000031,33556756.0,34351920.0,0.0,21225277.0,12331475.0,802.89,1.93,"[29,58[",132.19999695,0.0,0.6325187392964922,0.3674811415024742,47.60681,-122.33078,Centre,1
18,DOWNTOWN,109,5,Mixed Use Property,1.0,5,57452,0,57452,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,16442.0,Restaurant,15505.0,Office,9741.0,Compliant,132.3999939,137.1000061,280.7000122,285.0,7606084.5,7877219.0,1776201.875,3764791.0,2065091.0,273.02,4.75,"[87,116[",148.3000183,0.2335238157030729,0.4949709669935957,0.2715051351322747,47.60515,-122.33159,Centre,0
19,DOWNTOWN,100,1,Hotel,1.0,10,104352,0,104352,Hotel,Hotel,104352.0,Aucune,0.0,Aucune,0.0,Compliant,97.30000305,97.30000305,225.5,225.5,10154608.0,10154608.0,3430862.0,5908370.0,815376.0,349.32,3.35,"[87,116[",128.19999695,0.337862574311091,0.5818412685157319,0.0802961571731769,47.60376,-122.33194,Centre,0
20,DOWNTOWN,100,1,Other,1.0,10,540360,0,540360,Courthouse,Courthouse,537150.0,Aucune,0.0,Aucune,0.0,Compliant,83.69999695,87.5,182.6999969,186.6999969,44984468.0,47023088.0,0.0,24357833.0,20626631.0,1265.29,2.34,"[87,116[",98.99999995,0.0,0.5414720698708719,0.4585278412095481,47.60265,-122.33051,Centre,0
21,DOWNTOWN,31,1,Other,1.0,19,385274,0,385274,Other,Other,385274.0,Aucune,0.0,Aucune,0.0,Compliant,124.1999969,128.6000061,229.5,232.8999939,47859812.0,49539212.0,0.0,18257661.0,29602150.0,1699.45,4.41,"[29,58[",105.3000031,0.0,0.3814820877273818,0.6185178913782612,47.60378,-122.32842,Centre,1
23,NORTHEAST,15,2,Hotel,1.0,6,88592,30586,58006,"Hotel, Parking",Hotel,58006.0,Parking,30586.0,Aucune,0.0,Compliant,63.20000076,63.29999924,148.0,148.5,3663534.5,3673186.75,0.0,2266231.0,1397303.0,90.01,1.02,"[0,29[",84.79999924,0.0,0.6185914176596399,0.3814084458601386,47.65959,-122.31755,Nord,1
24,DOWNTOWN,88,1,University,1.0,7,126593,0,126593,College/University,College/University,125000.0,Aucune,0.0,Aucune,0.0,Compliant,90.69999695,97.5,173.0,180.0,11343686.0,12183313.0,0.0,4647474.0,6696211.0,388.04,3.07,"[87,116[",82.30000305,0.0,0.4096969891444456,0.590302922700787,47.61816,-122.33629,Centre,0
