,Zone,Utilisation,Conformité,NombreUtilisations,NombreBatiments,NombreEtages,SurfacePlancherTotal,ConsoSite/S(kBtu/sf),AgeBatiment
0,Centre,Détente,Compliant,1,1.0,12,88434,81.69999695,89
1,Centre,Détente,Compliant,3,1.0,11,103566,94.80000305,20
2,Centre,Détente,Compliant,1,1.0,41,956110,96.0,47
3,Centre,Détente,Compliant,1,1.0,10,61320,110.8000031,90
4,Centre,Détente,Compliant,3,1.0,18,175580,114.8000031,36
5,Centre,Autre,Compliant,1,1.0,2,97288,136.1000061,17
6,Centre,Détente,Compliant,1,1.0,11,83008,70.80000305,90
7,Centre,Autre,Compliant,1,1.0,8,102761,61.29999924,90
8,Centre,Détente,Compliant,1,1.0,15,163984,83.69999695,112
10,Centre,Détente,Compliant,1,1.0,11,153163,119.5999985,47
11,Centre,Détente,Compliant,1,1.0,25,333176,80.0,18
12,Centre,Détente,Compliant,1,1.0,9,65009,101.5,88
13,Centre,Détente,Compliant,2,1.0,33,315952,75.5,36
14,Centre,Détente,Compliant,2,1.0,11,92190,159.5,94
15,Centre,Autre,Compliant,3,1.0,11,412000,50.79999924,12
16,Centre,Autre,Compliant,3,1.0,6,103911,76.59999847,86
17,Centre,Détente,Compliant,2,1.0,28,416281,96.30000305,33
18,Centre,Autre,Compliant,5,1.0,5,57452,132.3999939,109
19,Centre,Détente,Compliant,1,1.0,10,104352,97.30000305,100
20,Centre,Autre,Compliant,1,1.0,10,540360,83.69999695,100
21,Centre,Autre,Compliant,1,1.0,19,385274,124.1999969,31
23,Nord,Détente,Compliant,2,1.0,6,88592,63.20000076,15
24,Centre,Universitaire,Compliant,1,1.0,7,126593,90.69999695,88
25,Centre,Autre,Compliant,1,1.0,2,67224,19.5,86
26,Centre,Détente,Compliant,4,1.0,8,158676,45.5,25
27,Centre,Détente,Compliant,1,1.0,10,171866,85.80000305,15
29,Centre,Détente,Compliant,1,1.0,5,68410,92.90000153,38
32,Nord,Bureau,Compliant,4,1.0,3,87262,61.5,110
33,Nord,Détente,Compliant,1,1.0,4,81871,81.5,22
34,Nord,Industriel,Compliant,1,1.0,2,110356,12.10000038,61
36,Sud,Industriel,Compliant,3,3.0,2,714095,46.40000153,55
39,Nord,Bureau,Compliant,2,1.0,2,94900,65.19999695,55
40,Sud,Bureau,Compliant,2,1.0,2,52554,50.09999847,116
41,Nord,Universitaire,Compliant,1,1.0,3,175015,40.0,62
42,Centre,Industriel,Compliant,3,1.0,3,70586,30.60000038,105
43,Centre,Détente,Compliant,1,1.0,24,332210,46.40000153,47
44,Centre,Bureau,Compliant,3,1.0,5,168115,56.29999924,43
45,Centre,Autre,Compliant,2,1.0,2,57428,21.70000076,96
46,Centre,Bureau,Compliant,2,1.0,8,59400,85.40000153,106
47,Centre,Autre,Compliant,3,1.0,2,52549,286.3999939,90
48,Centre,Détente,Compliant,3,1.0,20,98634,54.59999847,86
49,Centre,Détente,Compliant,3,1.0,34,994212,80.90000153,34
50,Centre,Détente,Compliant,4,1.0,7,71150,93.09999847,31
51,Centre,Détente,Compliant,3,1.0,7,122810,44.0,108
52,Centre,Détente,Compliant,2,1.0,5,113173,74.80000305,57
53,Centre,Détente,Compliant,1,1.0,7,150453,60.70000076,16
54,Centre,Détente,Compliant,1,1.0,6,116300,65.90000153,19
55,Centre,Détente,Compliant,1,1.0,6,155602,43.90000153,18
56,Centre,Universitaire,Compliant,1,1.0,3,56072,57.70000076,105
57,Centre,Détente,Compliant,2,1.0,4,122942,68.40000153,17
58,Centre,Bureau,Compliant,1,1.0,2,54984,61.40000153,54
59,Sud,Médical,Compliant,2,1.0,5,217603,144.3999939,94
60,Nord,Médical,Compliant,1,1.0,2,93397,175.6000061,46
61,Centre,Détente,Compliant,2,1.0,6,84103,58.5,8
63,Centre,Médical,Compliant,1,0.0,3,179014,93.30000305,51
64,Centre,Détente,Compliant,1,1.0,7,76631,94.69999695,108
65,Centre,Autre,Compliant,6,1.0,6,99780,204.5,33
66,Centre,Supermarché,Compliant,1,1.0,2,58320,14.60000038,87
67,Centre,Bureau,Compliant,4,1.0,5,316306,48.0,6
68,Centre,Détente,Compliant,2,1.0,7,282863,82.5,26
69,Centre,Autre,Compliant,1,1.0,1,389000,64.30000305,54
70,Centre,Autre,Compliant,1,1.0,1,91213,125.1999969,54
71,Centre,Autre,Compliant,1,1.0,5,396085,75.19999695,78
72,Centre,Bureau,Compliant,3,1.0,12,571329,63.40000153,6
73,Centre,Autre,Compliant,1,1.0,2,52000,52.40000153,54
74,Centre,Autre,Compliant,1,1.0,1,60696,8.100000381,88
75,Centre,Autre,Compliant,1,1.0,2,262048,70.0,88
76,Centre,Bureau,Compliant,5,0.0,2,66240,74.90000153,30
77,Centre,Bureau,Compliant,3,1.0,6,920598,49.79999924,6
78,Centre,Bureau,Compliant,3,1.0,4,76213,68.19999695,46
79,Centre,Détente,Compliant,2,1.0,6,96910,86.0,14
80,Nord,Détente,Compliant,2,2.0,4,50017,108.9000015,54
82,Centre,Universitaire,Compliant,1,1.0,3,67743,39.09999847,93
83,Centre,Universitaire,Compliant,1,1.0,6,194104,32.0,108
84,Sud,Bureau,Compliant,2,1.0,3,99433,76.90000153,13
89,Nord,Autre,Compliant,1,1.0,4,56521,129.6999969,75
90,Nord,Autre,Compliant,2,1.0,2,206934,35.70000076,87
91,Nord,Détente,Compliant,2,1.0,4,51390,70.30000305,15
94,Nord,Détente,Compliant,1,1.0,3,69138,45.90000153,14
96,Centre,Détente,Compliant,2,1.0,5,190980,34.09999847,112
97,Centre,Autre,Compliant,1,1.0,6,284100,77.19999695,18
98,Nord,Médical,Compliant,2,4.0,5,285333,225.0,62
100,Centre,Autre,Compliant,2,1.0,4,61156,130.1000061,10
101,Centre,Autre,Compliant,1,1.0,4,72820,34.70000076,106
102,Centre,Détente,Compliant,2,1.0,4,162222,69.90000153,20
